feature,importance
num__course_count,0.1277325089847735
num__select_course_count,0.07793542351761192
num__select_unique_class,0.07656220266495618
num__select_unique_course,0.07586808247318629
num__online_bfb,0.07471194749076929
num__task_job_num,0.06095384984504167
num__task_test_avg,0.05400977525566411
num__task_work_avg,0.05374509304877282
num__task_exam_avg,0.05265701457042353
num__task_bbs_num,0.04547484399932587
num__task_reply_num,0.04480681283782247
cat__ZYM_通信工程,0.016088237356837398
cat__ZYM_计算机科学与技术,0.011432200712557072
cat__JG_610000,0.008669503998750128
cat__XB_男,0.007501866109746263
cat__XB_女,0.007495676886202118
cat__ZYM_电子信息科学与技术,0.00670680601835216
cat__ZYM_电子信息工程,0.006703768434352486
cat__ZYM_软件工程,0.006470034329567137
cat__JG_410000,0.005771659194937092
cat__JG_130000,0.005252347484597342
cat__ZZMMMC_共青团员,0.004860348901907937
cat__ZZMMMC_群众,0.004848015989132117
cat__JG_370000,0.0047253700056665345
cat__ZYM_集成电路设计与集成系统,0.004575064427121062
cat__JG_340000,0.0044364512088337004
cat__ZYM_电子科学与技术,0.004389239279537684
cat__MZMC_汉族,0.004243050160239163
cat__JG_140000,0.004201837226709328
cat__ZYM_智能科学与技术,0.004029278893188381
cat__JG_420000,0.003967929002611945
cat__ZYM_机械设计制造及其自动化,0.003910522423518376
cat__JG_320000,0.003853494947670481
cat__ZYM_信息安全,0.003754916245271288
cat__JG_360000,0.0034878656038532622
cat__ZYM_微电子科学与工程,0.0032699165391159007
cat__ZYM_网络空间安全,0.003187017958234898
cat__JG_650000,0.0031245552707662213
cat__JG_620000,0.0030343460316799614
cat__JG_330000,0.0029817748868063852
cat__ZYM_信息对抗技术,0.002807900662471875
cat__ZYM_人工智能,0.0027809336478466407
cat__JG_510000,0.002748703507550428
cat__ZYM_光电信息科学与工程,0.0025661990988770523
cat__JG_430000,0.002492523118480396
cat__JG_450000,0.0024202742234760207
cat__JG_440000,0.0023928314690259776
cat__JG_350000,0.0023837099627366833
cat__ZYM_物联网工程,0.0023414151720487606
cat__JG_530000,0.002339321615909692
cat__ZYM_自动化,0.0023297025002602663
cat__JG_150000,0.0022633011991851303
cat__JG_230000,0.002209191735503599
cat__JG_520000,0.0022082015974926633
cat__JG_210000,0.0020120265496790355
cat__ZYM_信息工程,0.0019478002791302506
cat__ZYM_市场营销,0.001810040127700985
cat__ZYM_电气工程及其自动化,0.0018097755442135655
cat__JG_220000,0.0018049017216665254
cat__ZYM_网络工程,0.0017874436456968748
cat__ZYM_空间科学与技术,0.0017683157825374204
cat__ZYM_测控技术与仪器,0.0017537864632655657
cat__JG_640000,0.0017390719252396206
cat__ZYM_探测制导与控制技术,0.001705888348579445
cat__MZMC_回族,0.0017021856255210548
cat__ZYM_电磁场与无线技术,0.0015676301518330793
cat__JG_500000,0.0015663270515252398
cat__ZYM_应用化学,0.0014118380425708799
cat__ZYM_材料科学与工程,0.001365406594711937
cat__JG_110000,0.001293349860583999
cat__MZMC_壮族,0.001234757210569285
cat__ZYM_机器人工程,0.0012316850459457042
cat__ZYM_数学与应用数学,0.0011584734335979747
cat__ZYM_录音艺术,0.0011354292402880291
cat__ZYM_数据科学与大数据技术,0.0011325222535001967
cat__ZYM_遥感科学与技术,0.001129532090004412
cat__ZYM_电子封装技术,0.0010842400094351326
cat__ZYM_大数据管理与应用,0.0010416743258090996
cat__ZYM_汉语言文学,0.0009811138883774183
cat__ZYM_信息管理与信息系统,0.0009540368095978454
cat__JG_120000,0.0009197506710763877
cat__MZMC_满族,0.0009183242584442132
num__absent_count,0.0009037937716510244
num__attend_record_count,0.0008939330605177725
cat__JG_630000,0.0008702994502213318
num__absent_rate,0.0008556199584369144
cat__MZMC_藏族,0.0008469330795601165
cat__ZYM_工业设计,0.0008096498893324028
cat__ZYM_工程管理,0.0008038645033224702
cat__ZYM_智能医学工程,0.0007740124124326883
cat__ZYM_飞行器设计与工程,0.0007570410003851982
cat__MZMC_蒙古族,0.0007250775650711889
cat__ZYM_人力资源管理,0.0006955652401366457
cat__ZYM_生物医学工程,0.0006842130036081766
cat__JG_540000,0.0006796902340068851
cat__ZYM_空间信息与数字技术,0.0006674357588868138
cat__ZYM_工业工程,0.0006462777797611438
cat__JG_460000,0.0006388295410681154
cat__ZYM_纳米材料与技术,0.0005931843539433725
cat__ZYM_电波传播与天线,0.00058396873343146
cat__ZYM_翻译,0.0005570260536955179
cat__ZYM_信息与计算科学,0.0005535193182983424
cat__ZYM_应用物理学,0.0005190578965644801
cat__MZMC_土家族,0.0005179781532124836
cat__ZYM_金融学,0.0004967246223081336
cat__ZYM_哲学,0.0004931461172749256
cat__MZMC_哈萨克族,0.0004648063066616053
cat__ZYM_英语,0.000459599355577964
cat__MZMC_苗族,0.00045637989327322934
cat__ZYM_电子商务,0.00042124608139804673
cat__ZYM_数字媒体技术,0.00041978383736941606
cat__MZMC_彝族,0.000418931501985656
cat__ZYM_工商管理（理工类）,0.000404667341904954
cat__ZYM_生物技术,0.00036851336922778143
cat__MZMC_白族,0.00036717560993226097
cat__ZYM_电子信息工程（第二学士学位）,0.00035770853451357325
cat__ZYM_日语,0.0003012890114880142
cat__JG_310000,0.0002855855396181406
cat__MZMC_侗族,0.00025579465947354126
cat__MZMC_布依族,0.00023567974350075267
cat__ZYM_统计学,0.0002318027006892825
cat__ZYM_信息工程（第二学士学位）,0.00019195617714539928
cat__ZYM_电子科学与技术（第二学士学位）,0.00017283533319916076
cat__ZYM_电子封装技术（第二学士学位）,0.00016914534123586963
cat__MZMC_瑶族,0.00015580008365566388
cat__ZYM_人工智能（第二学士学位）,0.0001425753417232889
cat__ZYM_软件工程（第二学士学位）,0.0001404304996139104
cat__MZMC_傣族,0.00013461045031591204
cat__ZZMMMC_中国共产党党员,0.00013261722752340454
cat__ZYM_计算机科学与技术（第二学士学位）,0.00011365902973176935
cat__MZMC_朝鲜族,0.00010932554773745705
cat__ZZMMMC_nan,0.00010484292126322792
cat__ZYM_数据科学与大数据技术（第二学士学位）,0.0001001205767845203
cat__MZMC_穿青人族,9.085919884161301e-05
cat__ZYM_密码科学与技术,8.405983742765741e-05
cat__MZMC_傈僳族,8.220647269229288e-05
cat__MZMC_达斡尔族,7.269210682833698e-05
cat__ZZMMMC_中国共产党预备党员,5.4013488647260885e-05
cat__MZMC_畲族,5.388203975385e-05
cat__MZMC_羌族,5.283792740338988e-05
cat__MZMC_毛难族,4.4299922484165394e-05
cat__MZMC_黎族,3.7326642642875426e-05
cat__MZMC_柯尔克孜族,3.201621768240089e-05
cat__MZMC_仡佬族,1.6149335428240296e-05
cat__MZMC_土族,1.3746618418772668e-05
num__exam_submit_count,0.0
num__hw_submit_count,0.0
num__reply_count,0.0
num__sign_count,0.0
num__task_job_rate,0.0
num__topic_count,0.0
