student_id,total_risk,risk_rank
pjwtqxbj965,1.0,1
pjxpqxbj944,1.0,2
pjxuqwbj474,1.0,3
pjxuqwbj800,1.0,4
pjxyqwbk826,1.0,5
pjxyqxbj241,1.0,6
pjxyqxbk414,1.0,7
pjxyqxbk680,1.0,8
pjxyqxbj469,0.9987,9
pjxrqxbj962,0.9981,10
pjxuqwbj585,0.9981,11
pjxyqxbj419,0.9981,12
pjxyqxbj679,0.9981,13
pjxyqxbl797,0.9981,14
pjxyqwbj100,0.9975,15
pjxyqxbk520,0.9975,16
pjxyqxbj290,0.9959,17
pjxrqxbj903,0.995,18
pjxyqwbj088,0.9935,19
pjxyqwbj248,0.9931,20
pjxyqxbj681,0.9902,21
pjxuqwbj714,0.9871,22
pjxyqwbj086,0.9871,23
pjxqqxbj985,0.9816,24
pjxyqxbj054,0.98,25
pjxyqxbl673,0.979,26
pjxyqxbj658,0.9775,27
pjxyqxbk501,0.97,28
pjxyqxbj955,0.9672,29
pjxyqwbj485,0.9653,30
pjxuqwbj783,0.96,31
pjxyqwbj646,0.9575,32
pjxyqxbj895,0.9575,33
pjxxxxbj955,0.9488,34
pjxrqxbj955,0.9471,35
pjxuqwbj778,0.9471,36
pjxyqxbk980,0.9456,37
pjxuqwbj770,0.9444,38
pjxyqxbl737,0.9444,39
pjxyqwbk893,0.9443,40
pjxyqxbl808,0.9411,41
pjxyqxbk101,0.94,42
pjxyqxbk630,0.94,43
pjxyqxbj151,0.9389,44
pjxpqxbj915,0.9327,45
pjxsqxbj916,0.9327,46
pjxyqxbk350,0.9327,47
pjxyqwbj732,0.9308,48
pjxpqxbj937,0.9301,49
pjxyqxbl839,0.9263,50
pjxuqwbj818,0.925,51
pjxyqxbk798,0.925,52
pjxuqwbj591,0.9235,53
pjxuqwbj666,0.9213,54
pjxuqwbj837,0.921,55
pjxyqxbj762,0.9074,56
pjxrqxbj990,0.9049,57
pjxyqxbk458,0.9049,58
pjxsqxbj971,0.9024,59
pjxyqxbk065,0.9024,60
pjxyqwbj219,0.8975,61
pjxyqxbk723,0.8975,62
pjxyqxbl929,0.8958,63
pjxqqxbj957,0.8953,64
pjxqqxbj964,0.887,65
pjxyqxbj261,0.882,66
pjxyqxbl817,0.872,67
pjxyqwbj237,0.8586,68
pjxyqwbk756,0.8475,69
pjxuqwbj500,0.8355,70
pjxqqxbj982,0.8129,71
pjxyqxbk070,0.8129,72
pjxuqwbj528,0.8075,73
pjxyqwbk544,0.802,74
pjxyqwbj166,0.7847,75
pjxrqxbj943,0.775,76
pjxyqwbk686,0.7686,77
pjxyqxbj198,0.765,78
pjxyqxbl688,0.7613,79
pjxyqxbj718,0.7447,80
pjxsqxbj864,0.7296,81
pjxyqxbl712,0.7225,82
pjxuqwbj861,0.7042,83
pjxrqxbj905,0.6993,84
pjxuqwbj847,0.6917,85
pjxyqxbj709,0.6566,86
pjxyqxbj566,0.6542,87
pjxuqwbj497,0.65,88
pjxyqwbk622,0.65,89
pjxyqxbj169,0.645,90
pjxsqxbj921,0.6417,91
pjxyqwbj913,0.6407,92
pjxyqwbj397,0.6275,93
pjxyqwbj632,0.6175,94
pjxrqxbj957,0.6088,95
pjxyqxbj399,0.6069,96
pjxyqxbl830,0.6068,97
pjxyqxbl723,0.6066,98
pjxuqwbj606,0.6063,99
pjxyqxbk631,0.6,100
pjxyqxbk839,0.6,101
pjxuqwbj631,0.5991,102
pjxyqwbk777,0.5954,103
pjxyqwbj288,0.5925,104
pjxyqxbk079,0.591,105
pjxuqwbj831,0.5882,106
pjxpqxbj920,0.5817,107
pjxyqwbj888,0.5775,108
pjxyqxbl716,0.5725,109
pjxyqxbl763,0.572,110
pjxqqxbj961,0.5582,111
pjxyqxbk644,0.5582,112
pjxyqwbj380,0.5536,113
pjxyqxbl678,0.55,114
pjxyqxbk080,0.5495,115
pjxyqxbl796,0.5481,116
pjxuqwbj586,0.547,117
pjxyqxbl828,0.545,118
pjxyqxbk500,0.5425,119
pjxyqxbj710,0.5395,120
pjxyqxbj159,0.5158,121
pjxyqxbj162,0.5075,122
pjxyqwbj579,0.5016,123
pjwrqxbj911,0.5015,124
pjwrqxbj916,0.5015,125
pjwrqxbj949,0.5015,126
pjwrqxbj951,0.5015,127
pjwrqxbj985,0.5015,128
pjwrqxbj993,0.5015,129
pjwtqxbj922,0.5015,130
pjwtqxbj925,0.5015,131
pjwtqxbj935,0.5015,132
pjwtqxbj954,0.5015,133
pjwtqxbj974,0.5015,134
pjwtqxbj998,0.5015,135
pjxpqxbj925,0.5015,136
pjxpqxbj932,0.5015,137
pjxpqxbj941,0.5015,138
pjxpqxbj962,0.5015,139
pjxpqxbj963,0.5015,140
pjxpqxbj981,0.5015,141
pjxqqxbj951,0.5015,142
pjxqqxbj954,0.5015,143
pjxqqxbj969,0.5015,144
pjxqqxbj970,0.5015,145
pjxqqxbj975,0.5015,146
pjxqqxbj977,0.5015,147
pjxqqxbj981,0.5015,148
pjxqqxbj983,0.5015,149
pjxqqxbj986,0.5015,150
pjxqqxbj989,0.5015,151
pjxqqxbj991,0.5015,152
pjxqqxbj997,0.5015,153
pjxqzxbj980,0.5015,154
pjxqzxbj984,0.5015,155
pjxqzxbj985,0.5015,156
pjxqzxbj989,0.5015,157
pjxqzxbj994,0.5015,158
pjxqzxbj996,0.5015,159
pjxrqxbj894,0.5015,160
pjxrqxbj898,0.5015,161
pjxrqxbj901,0.5015,162
pjxrqxbj908,0.5015,163
pjxrqxbj909,0.5015,164
pjxrqxbj911,0.5015,165
pjxrqxbj918,0.5015,166
pjxrqxbj928,0.5015,167
pjxrqxbj930,0.5015,168
pjxrqxbj937,0.5015,169
pjxrqxbj939,0.5015,170
pjxrqxbj942,0.5015,171
pjxrqxbj944,0.5015,172
pjxrqxbj951,0.5015,173
pjxrqxbj952,0.5015,174
pjxrqxbj954,0.5015,175
pjxrqxbj958,0.5015,176
pjxrqxbj961,0.5015,177
pjxrqxbj969,0.5015,178
pjxrqxbj971,0.5015,179
pjxrqxbj972,0.5015,180
pjxrqxbj978,0.5015,181
pjxrqxbj983,0.5015,182
pjxrqxbj994,0.5015,183
pjxsqxbj778,0.5015,184
pjxsqxbj800,0.5015,185
pjxsqxbj807,0.5015,186
pjxsqxbj808,0.5015,187
pjxsqxbj810,0.5015,188
pjxsqxbj811,0.5015,189
pjxsqxbj867,0.5015,190
pjxsqxbj872,0.5015,191
pjxsqxbj877,0.5015,192
pjxsqxbj882,0.5015,193
pjxsqxbj884,0.5015,194
pjxsqxbj888,0.5015,195
pjxsqxbj894,0.5015,196
pjxsqxbj900,0.5015,197
pjxsqxbj912,0.5015,198
pjxsqxbj925,0.5015,199
pjxsqxbj927,0.5015,200
pjxsqxbj932,0.5015,201
pjxsqxbj934,0.5015,202
pjxsqxbj940,0.5015,203
pjxsqxbj953,0.5015,204
pjxsqxbj957,0.5015,205
pjxsqxbj965,0.5015,206
pjxsqxbj980,0.5015,207
pjxsqxbj986,0.5015,208
pjxsqxbj994,0.5015,209
pjxuqwbj463,0.5015,210
pjxuqwbj499,0.5015,211
pjxuqwbj519,0.5015,212
pjxuqwbj547,0.5015,213
pjxuqwbj552,0.5015,214
pjxuqwbj572,0.5015,215
pjxuqwbj581,0.5015,216
pjxuqwbj582,0.5015,217
pjxuqwbj583,0.5015,218
pjxuqwbj600,0.5015,219
pjxuqwbj615,0.5015,220
pjxuqwbj624,0.5015,221
pjxuqwbj633,0.5015,222
pjxuqwbj641,0.5015,223
pjxuqwbj642,0.5015,224
pjxuqwbj691,0.5015,225
pjxuqwbj738,0.5015,226
pjxuqwbj748,0.5015,227
pjxuqwbj751,0.5015,228
pjxuqwbj758,0.5015,229
pjxuqwbj760,0.5015,230
pjxuqwbj761,0.5015,231
pjxuqwbj773,0.5015,232
pjxuqwbj774,0.5015,233
pjxuqwbj787,0.5015,234
pjxuqwbj812,0.5015,235
pjxuqwbj814,0.5015,236
pjxuqwbj829,0.5015,237
pjxuqwbj833,0.5015,238
pjxuqwbj840,0.5015,239
pjxuqwbj857,0.5015,240
pjxuqwbj876,0.5015,241
pjxuqwbj881,0.5015,242
pjxuqwbj904,0.5015,243
pjxuqwbj915,0.5015,244
pjxuqwbj944,0.5015,245
pjxuqwbj947,0.5015,246
pjxuqwbj967,0.5015,247
pjxuqwbj976,0.5015,248
pjxuqwbj985,0.5015,249
pjxuqwbj996,0.5015,250
pjxuzvbj991,0.5015,251
pjxuzxbj997,0.5015,252
pjxwxxbj928,0.5015,253
pjxwxxbj945,0.5015,254
pjxwxxbj946,0.5015,255
pjxwxxbj981,0.5015,256
pjxwzxbj986,0.5015,257
pjxwzxbj997,0.5015,258
pjxxxxbj922,0.5015,259
pjxxxxbj942,0.5015,260
pjxxxxbj957,0.5015,261
pjxxxxbj980,0.5015,262
pjxxxxbj988,0.5015,263
pjxxztbj990,0.5015,264
pjxxztbj998,0.5015,265
pjxxzxkj998,0.5015,266
pjxyqwbj004,0.5015,267
pjxyqwbj015,0.5015,268
pjxyqwbj073,0.5015,269
pjxyqwbj146,0.5015,270
pjxyqwbj221,0.5015,271
pjxyqwbj249,0.5015,272
pjxyqwbj255,0.5015,273
pjxyqwbj282,0.5015,274
pjxyqwbj301,0.5015,275
pjxyqwbj302,0.5015,276
pjxyqwbj311,0.5015,277
pjxyqwbj318,0.5015,278
pjxyqwbj333,0.5015,279
pjxyqwbj366,0.5015,280
pjxyqwbj395,0.5015,281
pjxyqwbj398,0.5015,282
pjxyqwbj410,0.5015,283
pjxyqwbj433,0.5015,284
pjxyqwbj435,0.5015,285
pjxyqwbj437,0.5015,286
pjxyqwbj476,0.5015,287
pjxyqwbj479,0.5015,288
pjxyqwbj497,0.5015,289
pjxyqwbj518,0.5015,290
pjxyqwbj524,0.5015,291
pjxyqwbj534,0.5015,292
pjxyqwbj535,0.5015,293
pjxyqwbj538,0.5015,294
pjxyqwbj557,0.5015,295
pjxyqwbj585,0.5015,296
pjxyqwbj588,0.5015,297
pjxyqwbj589,0.5015,298
pjxyqwbj615,0.5015,299
pjxyqwbj617,0.5015,300
pjxyqwbj624,0.5015,301
pjxyqwbj625,0.5015,302
pjxyqwbj628,0.5015,303
pjxyqwbj642,0.5015,304
pjxyqwbj651,0.5015,305
pjxyqwbj669,0.5015,306
pjxyqwbj677,0.5015,307
pjxyqwbj687,0.5015,308
pjxyqwbj697,0.5015,309
pjxyqwbj706,0.5015,310
pjxyqwbj713,0.5015,311
pjxyqwbj727,0.5015,312
pjxyqwbj728,0.5015,313
pjxyqwbj734,0.5015,314
pjxyqwbj742,0.5015,315
pjxyqwbj744,0.5015,316
pjxyqwbj760,0.5015,317
pjxyqwbj773,0.5015,318
pjxyqwbj776,0.5015,319
pjxyqwbj788,0.5015,320
pjxyqwbj828,0.5015,321
pjxyqwbj834,0.5015,322
pjxyqwbj844,0.5015,323
pjxyqwbj870,0.5015,324
pjxyqwbj872,0.5015,325
pjxyqwbj873,0.5015,326
pjxyqwbj884,0.5015,327
pjxyqwbj922,0.5015,328
pjxyqwbj932,0.5015,329
pjxyqwbj935,0.5015,330
pjxyqwbj971,0.5015,331
pjxyqwbj989,0.5015,332
pjxyqwbj991,0.5015,333
pjxyqwbk509,0.5015,334
pjxyqwbk514,0.5015,335
pjxyqwbk529,0.5015,336
pjxyqwbk592,0.5015,337
pjxyqwbk594,0.5015,338
pjxyqwbk617,0.5015,339
pjxyqwbk621,0.5015,340
pjxyqwbk647,0.5015,341
pjxyqwbk650,0.5015,342
pjxyqwbk664,0.5015,343
pjxyqwbk665,0.5015,344
pjxyqwbk675,0.5015,345
pjxyqwbk724,0.5015,346
pjxyqwbk727,0.5015,347
pjxyqwbk746,0.5015,348
pjxyqwbk770,0.5015,349
pjxyqwbk772,0.5015,350
pjxyqwbk791,0.5015,351
pjxyqwbk792,0.5015,352
pjxyqwbk793,0.5015,353
pjxyqwbk795,0.5015,354
pjxyqwbk818,0.5015,355
pjxyqwbk872,0.5015,356
pjxyqwbk889,0.5015,357
pjxyqwbk899,0.5015,358
pjxyqwbk907,0.5015,359
pjxyqwbk964,0.5015,360
pjxyqxbj008,0.5015,361
pjxyqxbj035,0.5015,362
pjxyqxbj038,0.5015,363
pjxyqxbj044,0.5015,364
pjxyqxbj068,0.5015,365
pjxyqxbj073,0.5015,366
pjxyqxbj075,0.5015,367
pjxyqxbj088,0.5015,368
pjxyqxbj103,0.5015,369
pjxyqxbj106,0.5015,370
pjxyqxbj114,0.5015,371
pjxyqxbj125,0.5015,372
pjxyqxbj145,0.5015,373
pjxyqxbj147,0.5015,374
pjxyqxbj150,0.5015,375
pjxyqxbj153,0.5015,376
pjxyqxbj154,0.5015,377
pjxyqxbj182,0.5015,378
pjxyqxbj220,0.5015,379
pjxyqxbj238,0.5015,380
pjxyqxbj242,0.5015,381
pjxyqxbj332,0.5015,382
pjxyqxbj353,0.5015,383
pjxyqxbj361,0.5015,384
pjxyqxbj391,0.5015,385
pjxyqxbj415,0.5015,386
pjxyqxbj428,0.5015,387
pjxyqxbj432,0.5015,388
pjxyqxbj448,0.5015,389
pjxyqxbj454,0.5015,390
pjxyqxbj533,0.5015,391
pjxyqxbj537,0.5015,392
pjxyqxbj544,0.5015,393
pjxyqxbj562,0.5015,394
pjxyqxbj571,0.5015,395
pjxyqxbj574,0.5015,396
pjxyqxbj576,0.5015,397
pjxyqxbj578,0.5015,398
pjxyqxbj581,0.5015,399
pjxyqxbj589,0.5015,400
pjxyqxbj626,0.5015,401
pjxyqxbj638,0.5015,402
pjxyqxbj659,0.5015,403
pjxyqxbj662,0.5015,404
pjxyqxbj682,0.5015,405
pjxyqxbj701,0.5015,406
pjxyqxbj703,0.5015,407
pjxyqxbj714,0.5015,408
pjxyqxbj722,0.5015,409
pjxyqxbj729,0.5015,410
pjxyqxbj736,0.5015,411
pjxyqxbj737,0.5015,412
pjxyqxbj740,0.5015,413
pjxyqxbj765,0.5015,414
pjxyqxbj791,0.5015,415
pjxyqxbj798,0.5015,416
pjxyqxbj807,0.5015,417
pjxyqxbj828,0.5015,418
pjxyqxbj841,0.5015,419
pjxyqxbj857,0.5015,420
pjxyqxbj861,0.5015,421
pjxyqxbj862,0.5015,422
pjxyqxbj868,0.5015,423
pjxyqxbj871,0.5015,424
pjxyqxbj872,0.5015,425
pjxyqxbj889,0.5015,426
pjxyqxbj909,0.5015,427
pjxyqxbj914,0.5015,428
pjxyqxbj915,0.5015,429
pjxyqxbj918,0.5015,430
pjxyqxbj922,0.5015,431
pjxyqxbj927,0.5015,432
pjxyqxbj954,0.5015,433
pjxyqxbj972,0.5015,434
pjxyqxbj973,0.5015,435
pjxyqxbj978,0.5015,436
pjxyqxbj979,0.5015,437
pjxyqxbj980,0.5015,438
pjxyqxbj984,0.5015,439
pjxyqxbj991,0.5015,440
pjxyqxbk011,0.5015,441
pjxyqxbk021,0.5015,442
pjxyqxbk022,0.5015,443
pjxyqxbk027,0.5015,444
pjxyqxbk031,0.5015,445
pjxyqxbk036,0.5015,446
pjxyqxbk047,0.5015,447
pjxyqxbk048,0.5015,448
pjxyqxbk052,0.5015,449
pjxyqxbk090,0.5015,450
pjxyqxbk095,0.5015,451
pjxyqxbk147,0.5015,452
pjxyqxbk148,0.5015,453
pjxyqxbk165,0.5015,454
pjxyqxbk210,0.5015,455
pjxyqxbk211,0.5015,456
pjxyqxbk230,0.5015,457
pjxyqxbk272,0.5015,458
pjxyqxbk276,0.5015,459
pjxyqxbk316,0.5015,460
pjxyqxbk318,0.5015,461
pjxyqxbk334,0.5015,462
pjxyqxbk336,0.5015,463
pjxyqxbk341,0.5015,464
pjxyqxbk358,0.5015,465
pjxyqxbk368,0.5015,466
pjxyqxbk382,0.5015,467
pjxyqxbk399,0.5015,468
pjxyqxbk411,0.5015,469
pjxyqxbk429,0.5015,470
pjxyqxbk469,0.5015,471
pjxyqxbk474,0.5015,472
pjxyqxbk484,0.5015,473
pjxyqxbk513,0.5015,474
pjxyqxbk519,0.5015,475
pjxyqxbk522,0.5015,476
pjxyqxbk528,0.5015,477
pjxyqxbk531,0.5015,478
pjxyqxbk537,0.5015,479
pjxyqxbk551,0.5015,480
pjxyqxbk553,0.5015,481
pjxyqxbk566,0.5015,482
pjxyqxbk581,0.5015,483
pjxyqxbk583,0.5015,484
pjxyqxbk590,0.5015,485
pjxyqxbk596,0.5015,486
pjxyqxbk609,0.5015,487
pjxyqxbk637,0.5015,488
pjxyqxbk643,0.5015,489
pjxyqxbk649,0.5015,490
pjxyqxbk676,0.5015,491
pjxyqxbk683,0.5015,492
pjxyqxbk706,0.5015,493
pjxyqxbk715,0.5015,494
pjxyqxbk718,0.5015,495
pjxyqxbk720,0.5015,496
pjxyqxbk772,0.5015,497
pjxyqxbk799,0.5015,498
pjxyqxbk825,0.5015,499
pjxyqxbk836,0.5015,500
pjxyqxbk852,0.5015,501
pjxyqxbk902,0.5015,502
pjxyqxbk903,0.5015,503
pjxyqxbk907,0.5015,504
pjxyqxbk947,0.5015,505
pjxyqxbk954,0.5015,506
pjxyqxbk962,0.5015,507
pjxyqxbk991,0.5015,508
pjxyqxbk995,0.5015,509
pjxyqxbl687,0.5015,510
pjxyqxbl714,0.5015,511
pjxyqxbl730,0.5015,512
pjxyqxbl750,0.5015,513
pjxyqxbl751,0.5015,514
pjxyqxbl753,0.5015,515
pjxyqxbl766,0.5015,516
pjxyqxbl780,0.5015,517
pjxyqxbl794,0.5015,518
pjxyqxbl807,0.5015,519
pjxyqxbl827,0.5015,520
pjxyqxbl869,0.5015,521
pjxyqxbl874,0.5015,522
pjxyqxbl911,0.5015,523
pjxyqxbl912,0.5015,524
pjxyqxbl925,0.5015,525
pjxyqxbl937,0.5015,526
pjxyqxbl975,0.5015,527
pjxyqxbl982,0.5015,528
pjxyqxbk373,0.5007,529
pjxyqwbj598,0.4975,530
pjxyqwbj764,0.4901,531
pjxyqwbk701,0.4879,532
pjxyqwbj965,0.4875,533
pjxyqwbj754,0.4861,534
pjxyqwbj358,0.4847,535
pjxyqwbj418,0.4847,536
pjxyqwbj515,0.4847,537
pjxyqxbj031,0.4847,538
pjxyqxbj032,0.4847,539
pjwrqxbj901,0.4833,540
pjxyqwbk652,0.481,541
pjxyqxbk854,0.48,542
pjxyqwbk951,0.4729,543
pjxyqwbj660,0.4666,544
pjxuqwbj879,0.4658,545
pjxyqxbj501,0.4654,546
pjxyqwbk531,0.455,547
pjxuqwbj694,0.4525,548
pjxqqxbj949,0.445,549
pjxyqxbk722,0.445,550
pjxyqwbj158,0.4432,551
pjxrqxbj963,0.4337,552
pjxyqwbj859,0.4335,553
pjxyqxbk894,0.4325,554
pjxxxxbj910,0.4312,555
pjxrqxbj892,0.4275,556
pjxyqxbj893,0.4275,557
pjxyqxbk916,0.4262,558
pjwrqxbj905,0.4236,559
pjxyqwbk808,0.4225,560
pjxyqwbj077,0.4217,561
pjxyqwbj591,0.4204,562
pjxyqxbj027,0.4195,563
pjxyqxbj683,0.4146,564
pjxyqwbj116,0.4128,565
pjxyqwbj701,0.4128,566
pjxyqxbk661,0.4127,567
pjxyqxbj640,0.41,568
pjxyqxbj911,0.4092,569
pjxyqxbk503,0.4075,570
pjxuqwbj450,0.4056,571
pjxyqxbk732,0.4013,572
pjxyqwbj188,0.4001,573
pjxyqxbk579,0.3984,574
pjxyqxbj754,0.3955,575
pjxyqwbk925,0.3954,576
pjxyqxbj271,0.389,577
pjxyqwbk949,0.3852,578
pjxyqwbj492,0.3848,579
pjvyzxbj998,0.3825,580
pjxyqwbj564,0.3756,581
pjxyqwbk900,0.3728,582
pjxyqwbj456,0.3713,583
pjxyqxbk477,0.364,584
pjwrqxbj919,0.36,585
pjxyqxbk074,0.3575,586
pjxyqxbk918,0.3545,587
pjxyqwbk855,0.3531,588
pjxyqxbl739,0.3325,589
pjxyqxbk198,0.33,590
pjxsqxbj969,0.3292,591
pjxyqwbj849,0.3275,592
pjxyqxbj749,0.325,593
pjxpqxbj978,0.3225,594
pjxyqwbj868,0.3225,595
pjxuqwbj538,0.3225,596
pjxwxxbj993,0.3225,597
pjxyqwbj763,0.3177,598
pjxuqwbj980,0.315,599
pjxyqwbk668,0.3139,600
pjxyqxbj636,0.31,601
pjxyqwbj452,0.309,602
pjxyqwbk638,0.3077,603
pjxyqxbk342,0.305,604
pjxyqxbk162,0.3025,605
pjxyqxbl858,0.3025,606
pjxyqwbj340,0.3008,607
pjxuqwbj830,0.297,608
pjxxzxbj998,0.297,609
pjxyqwbk511,0.2965,610
pjxyqxbk401,0.2956,611
pjxuqwbj496,0.295,612
pjxyqwbj367,0.2947,613
pjxyqxbk775,0.2925,614
pjxyqwbk624,0.2904,615
pjxuqwbj638,0.2895,616
pjxsqxbj936,0.2878,617
pjxyqxbj315,0.287,618
pjxpqxbj934,0.2842,619
pjxyqwbj279,0.2822,620
pjxyqxbl943,0.28,621
pjxyqxbk125,0.2775,622
pjxyqxbk603,0.2754,623
pjxyqxbj063,0.2675,624
pjxyqxbj225,0.2675,625
pjxyqxbj840,0.2661,626
pjwtqxbj971,0.265,627
pjxyqwbk510,0.2621,628
pjxyqwbj785,0.2608,629
pjxsqxbj780,0.26,630
pjxyqxbj585,0.255,631
pjxrqxbj996,0.2548,632
pjxuqwbj511,0.2536,633
pjwrqxbj952,0.235,634
pjxyqxbk783,0.2268,635
pjxsqxbj918,0.2248,636
pjxyqxbj221,0.22,637
pjxyqwbk835,0.2127,638
pjxyqxbj492,0.2075,639
pjxyqxbk204,0.2044,640
pjwrzxbj996,0.2,641
pjxuqwbj750,0.1997,642
pjxyqxbk882,0.1994,643
pjxyqxbj827,0.1975,644
pjxuqwbj890,0.195,645
pjxyqxbj691,0.195,646
pjxyqwbk559,0.1949,647
pjxuqwbj925,0.1938,648
pjxyqxbj851,0.1928,649
pjxtztbj996,0.1875,650
pjxuzxbj986,0.1867,651
pjxuqwbj651,0.185,652
pjxyqxbj100,0.175,653
pjxuqwbj490,0.1732,654
pjxyqwbk583,0.1661,655
pjxyqxbk615,0.165,656
pjxyqxbk268,0.1464,657
pjxyqxbj160,0.1425,658
pjxuqwbj933,0.14,659
pjxyqxbk201,0.13,660
pjxuqwbj786,0.12,661
pjxyqxbk000,0.12,662
pjxyqxbk614,0.1088,663
pjxwxxbj941,0.1025,664
pjxyqwbj441,0.1,665
pjxyqxbk305,0.1,666
pjxyqxbj777,0.0917,667
pjxsqxbj787,0.09,668
pjxuqwbj445,0.09,669
pjxyqxbj753,0.0875,670
pjxuqwbj935,0.08,671
pjxyqxbk470,0.08,672
pjxyqxbj132,0.0775,673
pjxyqxbk953,0.0725,674
pjxyqxbl957,0.0725,675
pjxyqxbk479,0.07,676
pjxyqwbj174,0.0652,677
pjxyqxbj098,0.065,678
pjxyqxbk486,0.0575,679
pjxyqxbk081,0.055,680
pjxyqxbj359,0.0513,681
pjxyqxbj559,0.045,682
pjxyqxbj021,0.0425,683
pjxyqxbk840,0.0425,684
pjxyqxbj403,0.0375,685
pjwtqxbj918,0.025,686
pjxyqwbk736,0.0187,687
200307700011,,688
pjvyzvfj974,,689
pjvyzvfj977,,690
pjvyzvfj989,,691
pjvyzvfj994,,692
pjvyzvfj998,,693
pjvyzxbj993,,694
pjvyzxbj995,,695
pjvyzxbj997,,696
pjwqzwbj998,,697
pjwrqxbj882,,698
pjwrqxbj884,,699
pjwrqxbj890,,700
pjwrqxbj898,,701
pjwrqxbj913,,702
pjwrqxbj918,,703
pjwrqxbj920,,704
pjwrqxbj923,,705
pjwrqxbj924,,706
pjwrqxbj925,,707
pjwrqxbj926,,708
pjwrqxbj929,,709
pjwrqxbj932,,710
pjwrqxbj935,,711
pjwrqxbj938,,712
pjwrqxbj944,,713
pjwrqxbj945,,714
pjwrqxbj948,,715
pjwrqxbj955,,716
