feature,importance
num__course_count,0.23425318896082972
num__select_course_count,0.15615079205184296
num__select_unique_class,0.11246078077210866
num__task_work_avg,0.04946143512613798
num__task_test_avg,0.04572090286904619
num__task_job_num,0.044641696418404236
num__online_bfb,0.041684774687523234
num__select_unique_course,0.03575570454477321
num__task_exam_avg,0.03367875759819774
num__task_bbs_num,0.02312894808360813
num__task_reply_num,0.022714207137640465
cat__MZMC_汉族,0.013285431456072827
cat__ZYM_汉语言文学,0.009810493280779561
cat__ZYM_通信工程,0.009645445555977556
cat__ZYM_工业工程,0.007876612443426748
cat__JG_410000,0.007041790329936094
cat__ZYM_信息安全,0.006816785738060224
cat__MZMC_布依族,0.005208773929049714
cat__ZYM_智能科学与技术,0.005133188322377032
cat__ZYM_日语,0.005020597412098996
cat__ZYM_电子信息科学与技术,0.004973931473477169
cat__ZYM_哲学,0.004928549124181354
cat__ZZMMMC_群众,0.0047450934435467156
cat__ZYM_计算机科学与技术,0.0043761843866027186
cat__JG_520000,0.0043633849427834
cat__ZYM_探测制导与控制技术,0.004157293422710959
cat__JG_320000,0.003916117236882635
num__absent_rate,0.003912764434337585
cat__ZYM_大数据管理与应用,0.003689654187180593
cat__ZYM_软件工程,0.0034925783491058355
cat__XB_男,0.0033403763132317044
cat__ZYM_信息管理与信息系统,0.003123826671824074
cat__XB_女,0.0030989619825275024
cat__ZYM_物联网工程,0.0029133723477043324
cat__JG_530000,0.002589554602688499
cat__ZYM_信息对抗技术,0.0025802558594511717
cat__ZYM_数学与应用数学,0.0024914764124741354
cat__ZZMMMC_共青团员,0.0024723404919633086
cat__ZYM_录音艺术,0.002407528543246015
cat__MZMC_壮族,0.002337667621996443
cat__ZYM_软件工程（第二学士学位）,0.0021754282375425595
cat__ZYM_电子信息工程,0.0021480913118306034
cat__ZYM_电子信息工程（第二学士学位）,0.0020993053180128215
cat__JG_430000,0.002039734780759031
cat__ZYM_金融学,0.0017536933185742175
cat__JG_650000,0.0017373295752585922
cat__JG_370000,0.0016089890262733254
cat__ZYM_机械设计制造及其自动化,0.0014944032929997586
cat__JG_420000,0.0014452709892668757
cat__JG_610000,0.0014109523649462959
cat__JG_510000,0.001327573407757901
cat__JG_340000,0.0012534781789021374
cat__JG_130000,0.0012480841136348249
cat__ZYM_电子科学与技术,0.0012040303049065627
cat__MZMC_土族,0.001184805448794512
cat__ZYM_电磁场与无线技术,0.0011455386590059834
cat__ZYM_微电子科学与工程,0.0011320125713144846
cat__ZYM_光电信息科学与工程,0.0010679589415858058
cat__ZYM_市场营销,0.0010565646081795936
cat__JG_360000,0.0010303758288332922
cat__ZYM_信息与计算科学,0.0010252831751488408
cat__ZYM_信息工程（第二学士学位）,0.0010215617187693657
cat__ZYM_电子封装技术（第二学士学位）,0.001021445924768076
cat__ZZMMMC_nan,0.0009653735881522905
cat__JG_330000,0.0008993842967472488
cat__ZYM_电气工程及其自动化,0.0008954617152126562
num__attend_record_count,0.000838432519368062
cat__ZYM_网络空间安全,0.0008337646120224502
cat__JG_440000,0.0008150110847087873
cat__JG_140000,0.0008072520637932389
cat__JG_450000,0.0008013013545246475
cat__ZYM_计算机科学与技术（第二学士学位）,0.0007736660111916887
cat__ZYM_数字媒体技术,0.0007612513830207436
cat__ZYM_人工智能（第二学士学位）,0.000726934995636955
cat__ZYM_遥感科学与技术,0.0007120090029842545
cat__ZYM_电波传播与天线,0.0006802696279705205
cat__JG_500000,0.0006553987869804905
cat__JG_150000,0.0006440026251976094
cat__ZYM_信息工程,0.0006036210319345422
cat__ZYM_电子科学与技术（第二学士学位）,0.0005997728248614915
cat__ZYM_飞行器设计与工程,0.0005717480432682753
cat__JG_620000,0.0005703815908126449
cat__MZMC_哈萨克族,0.0005626797203564258
cat__JG_350000,0.0005606208314059954
cat__JG_630000,0.0005429874846958291
cat__JG_230000,0.0005285396878355708
cat__ZYM_应用物理学,0.0005237621233410872
cat__ZYM_电子商务,0.0005210846703491044
cat__ZYM_集成电路设计与集成系统,0.00047213132702734285
cat__JG_210000,0.00046900861107960763
cat__ZYM_人工智能,0.0004585306551957842
cat__JG_110000,0.0004538091683939721
cat__ZYM_空间科学与技术,0.0004488395868545856
cat__MZMC_穿青人族,0.00043599870480984996
cat__ZYM_数据科学与大数据技术（第二学士学位）,0.00041696135786595685
cat__ZZMMMC_中国共产党预备党员,0.00036978621434864494
cat__ZYM_应用化学,0.0003681970070023395
cat__ZYM_材料科学与工程,0.0003534552946004518
cat__ZYM_网络工程,0.00034552282842798503
num__absent_count,0.00034466577769132504
cat__JG_640000,0.00032522220613846763
cat__ZYM_工程管理,0.0003022617568991958
cat__JG_220000,0.00029135905813071887
cat__MZMC_藏族,0.0002819201366456298
cat__ZYM_测控技术与仪器,0.00027740169933413946
cat__ZYM_自动化,0.00027047739030274095
cat__JG_540000,0.0002611984793960392
cat__ZYM_生物医学工程,0.0002434882820996487
cat__ZYM_工商管理（理工类）,0.00023597219442045056
cat__ZYM_工业设计,0.00022271063742461782
cat__ZYM_生物技术,0.00022265614076007865
cat__MZMC_苗族,0.00021953965923004925
cat__JG_460000,0.0002077770635391854
cat__ZYM_机器人工程,0.00020287429177561267
cat__ZYM_数据科学与大数据技术,0.00019815855829327707
cat__MZMC_蒙古族,0.0001925880861422374
cat__MZMC_回族,0.00018090010791538827
cat__ZYM_统计学,0.00016385213192363085
cat__ZYM_空间信息与数字技术,0.00015926442048645606
cat__MZMC_满族,0.00013154213572964696
cat__ZZMMMC_中国共产党党员,0.0001308866320067265
cat__ZYM_人力资源管理,0.00012795407681792634
cat__ZYM_智能医学工程,0.00012721560123297104
cat__ZYM_纳米材料与技术,0.00011745401416019452
cat__MZMC_彝族,0.0001076267184022025
cat__JG_120000,0.00010546463738514073
cat__MZMC_畲族,5.53846486208271e-05
cat__MZMC_瑶族,4.9903585238610706e-05
cat__ZYM_电子封装技术,4.025592654844737e-05
cat__MZMC_白族,3.6166547630767006e-05
cat__MZMC_侗族,3.310345724625817e-05
cat__JG_310000,2.907709135728039e-05
cat__MZMC_土家族,2.8302654178432058e-05
cat__ZYM_翻译,2.333880660302477e-05
cat__MZMC_羌族,9.899525222808202e-06
cat__ZYM_英语,7.162720166476577e-06
cat__ZYM_密码科学与技术,6.547990573468483e-06
cat__MZMC_朝鲜族,4.135466134521821e-06
cat__MZMC_傈僳族,1.7875026180474087e-06
cat__MZMC_达斡尔族,1.480730886186362e-06
cat__MZMC_傣族,3.6587903095932307e-07
cat__MZMC_柯尔克孜族,3.4880491950445344e-07
cat__MZMC_仡佬族,2.0587194126165235e-07
cat__MZMC_黎族,1.7580322810870767e-08
cat__MZMC_毛难族,1.2216246656527427e-09
num__topic_count,0.0
num__task_job_rate,0.0
num__exam_submit_count,0.0
num__hw_submit_count,0.0
num__sign_count,0.0
num__reply_count,0.0
