request_id,feature_group,model_name,threshold_strategy,threshold,auc,f1,recall,precision,coverage,robustness_score,selected_as_primary,selected_as_challenger,selected_as_fallback
study_agent_llm_fusion_request,grade_dominant,RandomForest,best_f1,0.4,0.8425999005349496,0.6701807228915663,0.7897071872227152,0.5820797907128843,0.8883579221501624,0.7875160424066208,True,False,False
study_agent_llm_fusion_request,grade_dominant,RandomForest,recall_priority,0.4,0.8425999005349496,0.6701807228915663,0.7897071872227152,0.5820797907128843,0.8883579221501624,0.7875160424066208,False,True,False
study_agent_llm_fusion_request,grade_dominant,XGBoost,best_f1,0.3,0.844347038686259,0.6748224151539068,0.7586512866015972,0.6076759061833689,0.8883579221501624,0.7850363771602444,False,False,False
study_agent_llm_fusion_request,grade_dominant,XGBoost,recall_priority,0.3,0.844347038686259,0.6748224151539068,0.7586512866015972,0.6076759061833689,0.8883579221501624,0.7850363771602444,False,False,False
study_agent_llm_fusion_request,llm_synthesized,LightGBM,best_f1,0.45,0.8175718865266456,0.6553846153846153,0.7559893522626442,0.5784114052953157,1.0,0.7779211363917717,False,False,False
study_agent_llm_fusion_request,llm_synthesized,LightGBM,recall_priority,0.45,0.8175718865266456,0.6553846153846153,0.7559893522626442,0.5784114052953157,1.0,0.7779211363917717,False,False,False
study_agent_llm_fusion_request,grade_dominant,LightGBM,default_0_5,0.5,0.8441431316188549,0.6672192291753004,0.7142857142857143,0.6259720062208398,0.8883579221501624,0.7760088273389482,False,False,False
study_agent_llm_fusion_request,grade_dominant,LightGBM,best_f1,0.5,0.8441431316188549,0.6672192291753004,0.7142857142857143,0.6259720062208398,0.8883579221501624,0.7760088273389482,False,False,False
study_agent_llm_fusion_request,grade_dominant,LightGBM,recall_priority,0.5,0.8441431316188549,0.6672192291753004,0.7142857142857143,0.6259720062208398,0.8883579221501624,0.7760088273389482,False,False,False
study_agent_llm_fusion_request,llm_synthesized,LightGBM,default_0_5,0.5,0.8175718865266456,0.65311004784689,0.7267080745341615,0.5930485155684286,1.0,0.7728465744711817,False,False,False
study_agent_llm_fusion_request,llm_synthesized,XGBoost,best_f1,0.35,0.8201311245010499,0.6529605263157895,0.7045252883762201,0.6084291187739463,1.0,0.7706259571766423,False,False,False
study_agent_llm_fusion_request,llm_synthesized,XGBoost,recall_priority,0.35,0.8201311245010499,0.6529605263157895,0.7045252883762201,0.6084291187739463,1.0,0.7706259571766423,False,False,False
study_agent_llm_fusion_request,grade_dominant,RandomForest,default_0_5,0.5,0.8425999005349496,0.6612489307100086,0.6858917480035492,0.6383154417836499,0.8883579221501624,0.7692641888692785,False,False,False
study_agent_llm_fusion_request,llm_synthesized,RandomForest,default_0_5,0.5,0.8111055440065993,0.6520661157024793,0.7000887311446318,0.6102088167053364,1.0,0.7656306391854082,False,False,False
study_agent_llm_fusion_request,llm_synthesized,RandomForest,best_f1,0.5,0.8111055440065993,0.6520661157024793,0.7000887311446318,0.6102088167053364,1.0,0.7656306391854082,False,False,False
study_agent_llm_fusion_request,llm_synthesized,RandomForest,recall_priority,0.5,0.8111055440065993,0.6520661157024793,0.7000887311446318,0.6102088167053364,1.0,0.7656306391854082,False,False,False
study_agent_llm_fusion_request,llm_synthesized,LogisticRegression,recall_priority,0.4,0.8008476071375644,0.6191663697898112,0.7710736468500443,0.5172619047619048,1.0,0.761792381176354,False,False,True
study_agent_llm_fusion_request,grade_dominant,LogisticRegression,recall_priority,0.4,0.8196258138176193,0.6402439024390244,0.7453416149068323,0.561122244488978,0.8883579221501624,0.761541821400677,False,False,False
study_agent_llm_fusion_request,topk_selected,RandomForest,recall_priority,0.4,0.8430138430242426,0.6624156039009752,0.7834960070984915,0.5737491877842755,0.6437639852846361,0.759981710124439,False,False,False
study_agent_llm_fusion_request,topk_selected,XGBoost,best_f1,0.3,0.8439031972553885,0.6719242902208202,0.7559893522626442,0.6046841731724627,0.6437639852846361,0.7591085271990312,False,False,False
study_agent_llm_fusion_request,topk_selected,XGBoost,recall_priority,0.3,0.8439031972553885,0.6719242902208202,0.7559893522626442,0.6046841731724627,0.6437639852846361,0.7591085271990312,False,False,False
study_agent_llm_fusion_request,topk_selected,LightGBM,best_f1,0.45,0.8433481169052329,0.6664053312426499,0.7542147293700089,0.5969101123595506,0.6437639852846361,0.7569368599141146,False,False,False
study_agent_llm_fusion_request,topk_selected,LightGBM,recall_priority,0.45,0.8433481169052329,0.6664053312426499,0.7542147293700089,0.5969101123595506,0.6437639852846361,0.7569368599141146,False,False,False
study_agent_llm_fusion_request,llm_synthesized,LogisticRegression,best_f1,0.45,0.8008476071375644,0.6319165998396151,0.6992014196983141,0.576444769568398,1.0,0.7548366161185356,False,False,False
study_agent_llm_fusion_request,grade_dominant,LogisticRegression,best_f1,0.45,0.8196258138176193,0.6434494195688225,0.6885536823425022,0.6038910505836576,0.8883579221501624,0.7539852866549671,False,False,False
study_agent_llm_fusion_request,topk_selected,LightGBM,default_0_5,0.5,0.8433481169052329,0.6650205761316872,0.7169476486246673,0.6201074443591711,0.6437639852846361,0.7509313712690247,False,False,False
study_agent_llm_fusion_request,llm_synthesized,XGBoost,default_0_5,0.5,0.8201311245010499,0.630188679245283,0.5927240461401952,0.6727089627391742,1.0,0.7470242167200866,False,False,False
study_agent_llm_fusion_request,topk_selected,RandomForest,default_0_5,0.5,0.8430138430242426,0.6652230402771763,0.6814551907719609,0.649746192893401,0.6437639852846361,0.7455178185883198,False,False,False
study_agent_llm_fusion_request,topk_selected,RandomForest,best_f1,0.5,0.8430138430242426,0.6652230402771763,0.6814551907719609,0.649746192893401,0.6437639852846361,0.7455178185883198,False,False,False
study_agent_llm_fusion_request,grade_dominant,LogisticRegression,default_0_5,0.5,0.8196258138176193,0.6303084488153777,0.6255545696539485,0.6351351351351351,0.8883579221501624,0.7405931285256505,False,False,False
study_agent_llm_fusion_request,topk_selected,LogisticRegression,recall_priority,0.4,0.8195390883162738,0.64050822122571,0.7604259094942325,0.5532601678502259,0.6437639852846361,0.7393853410626348,False,False,False
study_agent_llm_fusion_request,all_features,XGBoost,best_f1,0.3,0.8454026013193419,0.6732438831886346,0.7568766637089619,0.6062544420753376,0.41703314914393985,0.7376391500210324,False,False,False
study_agent_llm_fusion_request,all_features,XGBoost,recall_priority,0.3,0.8454026013193419,0.6732438831886346,0.7568766637089619,0.6062544420753376,0.41703314914393985,0.7376391500210324,False,False,False
study_agent_llm_fusion_request,llm_synthesized,LogisticRegression,default_0_5,0.5,0.8008476071375644,0.6140819964349377,0.611357586512866,0.6168307967770814,1.0,0.7363096601193152,False,False,False
study_agent_llm_fusion_request,all_features,LightGBM,best_f1,0.45,0.8446917121991024,0.6671862821512081,0.7595385980479148,0.5948575399583044,0.41703314914393985,0.7359012597565396,False,False,False
study_agent_llm_fusion_request,all_features,LightGBM,recall_priority,0.45,0.8446917121991024,0.6671862821512081,0.7595385980479148,0.5948575399583044,0.41703314914393985,0.7359012597565396,False,False,False
study_agent_llm_fusion_request,topk_selected,LogisticRegression,best_f1,0.45,0.8195390883162738,0.6413398692810458,0.6965394853593612,0.5942467827403483,0.6437639852846361,0.7300518718590048,False,False,False
study_agent_llm_fusion_request,grade_dominant,XGBoost,default_0_5,0.5,0.844347038686259,0.61211477151966,0.5110913930789707,0.7629139072847683,0.8883579221501624,0.7290901000415765,False,False,False
study_agent_llm_fusion_request,all_features,LightGBM,default_0_5,0.5,0.8446917121991024,0.665016501650165,0.7151730257320319,0.6214340786430224,0.41703314914393985,0.7285954897588444,False,False,False
study_agent_llm_fusion_request,all_features,RandomForest,default_0_5,0.5,0.8454477282932755,0.6675094816687737,0.7027506654835848,0.6356340288924559,0.41703314914393985,0.7278202369695378,False,False,False
study_agent_llm_fusion_request,all_features,RandomForest,best_f1,0.5,0.8454477282932755,0.6675094816687737,0.7027506654835848,0.6356340288924559,0.41703314914393985,0.7278202369695378,False,False,False
study_agent_llm_fusion_request,all_features,RandomForest,recall_priority,0.5,0.8454477282932755,0.6675094816687737,0.7027506654835848,0.6356340288924559,0.41703314914393985,0.7278202369695378,False,False,False
study_agent_llm_fusion_request,topk_selected,LogisticRegression,default_0_5,0.5,0.8195390883162738,0.6351292159439335,0.6433007985803016,0.6271626297577855,0.6437639852846361,0.7202028728410121,False,False,False
study_agent_llm_fusion_request,all_features,LogisticRegression,best_f1,0.4,0.8195494879481267,0.6422703510082151,0.7630878438331854,0.5544809800128949,0.41703314914393985,0.7176448663684932,False,False,False
study_agent_llm_fusion_request,all_features,LogisticRegression,recall_priority,0.4,0.8195494879481267,0.6422703510082151,0.7630878438331854,0.5544809800128949,0.41703314914393985,0.7176448663684932,False,False,False
study_agent_llm_fusion_request,topk_selected,XGBoost,default_0_5,0.5,0.8439031972553885,0.6196581196581197,0.5146406388642414,0.7785234899328859,0.6437639852846361,0.7072263690204605,False,False,False
study_agent_llm_fusion_request,all_features,LogisticRegression,default_0_5,0.5,0.8195494879481267,0.6365629110039457,0.6441881100266194,0.6291161178509532,0.41703314914393985,0.6980976742962275,False,False,False
study_agent_llm_fusion_request,all_features,XGBoost,default_0_5,0.5,0.8454026013193419,0.6159574468085106,0.5137533274179237,0.7689243027888446,0.41703314914393985,0.6839847186633395,False,False,False
study_agent_llm_fusion_request,attendance_task_dominant,LightGBM,best_f1,0.15,0.5330422303050472,0.4857758620689655,1.0,0.32080842584685454,0.10943312007141795,0.5465450742651027,False,False,False
study_agent_llm_fusion_request,attendance_task_dominant,LightGBM,recall_priority,0.15,0.5330422303050472,0.4857758620689655,1.0,0.32080842584685454,0.10943312007141795,0.5465450742651027,False,False,False
study_agent_llm_fusion_request,attendance_task_dominant,XGBoost,best_f1,0.2,0.5318665147825196,0.48585618656877566,0.9982253771073647,0.3210616438356164,0.10943312007141795,0.545773906196013,False,False,False
study_agent_llm_fusion_request,attendance_task_dominant,XGBoost,recall_priority,0.2,0.5318665147825196,0.48585618656877566,0.9982253771073647,0.3210616438356164,0.10943312007141795,0.545773906196013,False,False,False
study_agent_llm_fusion_request,online_activity_dominant,XGBoost,best_f1,0.2,0.5189117305247395,0.4864745986364636,0.9813664596273292,0.32339181286549706,0.16569006712936624,0.5432266339841079,False,False,False
study_agent_llm_fusion_request,online_activity_dominant,XGBoost,recall_priority,0.2,0.5189117305247395,0.4864745986364636,0.9813664596273292,0.32339181286549706,0.16569006712936624,0.5432266339841079,False,False,False
study_agent_llm_fusion_request,online_activity_dominant,RandomForest,best_f1,0.1,0.5126166105148449,0.4865684575389948,0.9964507542147294,0.3218687302952135,0.16569006712936624,0.5426846318385247,False,False,False
study_agent_llm_fusion_request,online_activity_dominant,RandomForest,recall_priority,0.1,0.5126166105148449,0.4865684575389948,0.9964507542147294,0.3218687302952135,0.16569006712936624,0.5426846318385247,False,False,False
study_agent_llm_fusion_request,attendance_task_dominant,LogisticRegression,best_f1,0.1,0.5225285739170549,0.4854619857850528,1.0,0.32053469852104666,0.10943312007141795,0.5417197660053323,False,False,False
study_agent_llm_fusion_request,attendance_task_dominant,LogisticRegression,recall_priority,0.1,0.5225285739170549,0.4854619857850528,1.0,0.32053469852104666,0.10943312007141795,0.5417197660053323,False,False,False
study_agent_llm_fusion_request,online_activity_dominant,LogisticRegression,best_f1,0.4,0.5133572128689502,0.48722466960352423,0.9813664596273292,0.32405508350424844,0.16569006712936624,0.5409521223291208,False,False,False
study_agent_llm_fusion_request,online_activity_dominant,LogisticRegression,recall_priority,0.4,0.5133572128689502,0.48722466960352423,0.9813664596273292,0.32405508350424844,0.16569006712936624,0.5409521223291208,False,False,False
study_agent_llm_fusion_request,attendance_task_dominant,RandomForest,best_f1,0.35,0.522201171221396,0.4860990443092963,0.9929015084294588,0.32182916307161347,0.10943312007141795,0.5406987786139777,False,False,False
study_agent_llm_fusion_request,attendance_task_dominant,RandomForest,recall_priority,0.35,0.522201171221396,0.4860990443092963,0.9929015084294588,0.32182916307161347,0.10943312007141795,0.5406987786139777,False,False,False
study_agent_llm_fusion_request,online_activity_dominant,LightGBM,best_f1,0.1,0.5069315403377578,0.4863577306193157,0.9964507542147294,0.32168433113720996,0.16569006712936624,0.5400631321829318,False,False,False
study_agent_llm_fusion_request,online_activity_dominant,LightGBM,recall_priority,0.1,0.5069315403377578,0.4863577306193157,0.9964507542147294,0.32168433113720996,0.16569006712936624,0.5400631321829318,False,False,False
study_agent_llm_fusion_request,online_activity_dominant,LogisticRegression,default_0_5,0.5,0.5133572128689502,0.48616236162361626,0.935226264418811,0.328451230913057,0.16569006712936624,0.5337124006538707,False,False,False
study_agent_llm_fusion_request,online_activity_dominant,RandomForest,default_0_5,0.5,0.5126166105148449,0.47867752755150933,0.8864241348713399,0.3278634722678044,0.16569006712936624,0.5238133599407705,False,False,False
study_agent_llm_fusion_request,online_activity_dominant,LightGBM,default_0_5,0.5,0.5069315403377578,0.47719635141622657,0.8819875776397516,0.32708127673576837,0.16569006712936624,0.5201452419357583,False,False,False
study_agent_llm_fusion_request,attendance_task_dominant,LightGBM,default_0_5,0.5,0.5330422303050472,0.21074380165289255,0.13575865128660158,0.4707692307692308,0.10943312007141795,0.334399253833271,False,False,False
study_agent_llm_fusion_request,attendance_task_dominant,LogisticRegression,default_0_5,0.5,0.5225285739170549,0.20684931506849316,0.13398402839396628,0.45345345345345345,0.10943312007141795,0.3282335690494594,False,False,False
study_agent_llm_fusion_request,attendance_task_dominant,RandomForest,default_0_5,0.5,0.522201171221396,0.2024623803009576,0.1313220940550133,0.4417910447761194,0.10943312007141795,0.3263708672553093,False,False,False
study_agent_llm_fusion_request,attendance_task_dominant,XGBoost,default_0_5,0.5,0.5318665147825196,0.06947890818858561,0.037267080745341616,0.5121951219512195,0.10943312007141795,0.2767169782276525,False,False,False
study_agent_llm_fusion_request,online_activity_dominant,XGBoost,default_0_5,0.5,0.5189117305247395,0.0,0.0,0.0,0.16569006712936624,0.25007928544906943,False,False,False
